Subject;Subject Desc;Course Number;Title;Academic Period;Academic Period Desc;Section;CRN;Instructor;A;A-;A+;AU;B;B-;B+;C;C-;C+;D;D-;D+;E;F;I;N;P;PI;S;SI;U;W;
;;29600;First-Time Researcher;202420;Spring 2024;FR0;27283;Howarter, John A.;;;;;;;;;;;;;;;;;;;;87.5%;;6.3%;6.3%;
;;;;;;FR3;27284;Howarter, John A.;90.9%;;;;3.0%;;;;;;;;;;;;;;;;;;6.1%;
;;;GEARE Pro Experience Prep;202420;Spring 2024;005;20175;Fabries, Heather P.;62.2%;;27.0%;;8.1%;;;2.7%;;;;;;;;;;;;;;;;
;;;Gender In Belgium And Paris;202420;Spring 2024;006;21606;Zurn-Birkhimer, Suzanne M.;52.6%;26.3%;10.5%;;5.3%;;;;;5.3%;;;;;;;;;;;;;;
;;;Kiewit Scholar Seminar;202420;Spring 2024;003;26332;Mcfall-Wankat, Tyson J.;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;39600;VIP;202420;Spring 2024;003;24367;Johnson, Mark C.;;;;;;;;;;;;;;;;;;;;78.9%;;10.5%;10.5%;
;;39899;GEARE Global Internship;202420;Spring 2024;001;17533;Rios-Rojas, Gabriel O.;;;;;;;;;;;;;;;;;;;;95.5%;4.5%;;;
;;40400;Instr,Mentorshp&Ldrshp;202420;Spring 2024;001;24154;Stewart, Stephen R.;68.4%;;26.3%;;;5.3%;;;;;;;;;;;;;;;;;;
;;;Instr,Mentorshp&Ldrshp-Honors;202420;Spring 2024;H01;23869;Campbell, Makenzie R.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;H03;23872;Campbell, Makenzie R.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;H04;24805;Campbell, Makenzie R.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;40600;Engr Ambassador Seminar;202420;Spring 2024;001;64509;Engelberth, Nathan P.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;49400;Women Engr Sr Seminar;202420;Spring 2024;001;28607;Zurn-Birkhimer, Suzanne M.;31.3%;6.3%;50.0%;;;;12.5%;;;;;;;;;;;;;;;;;
;;49700;Global Engineering Capstone;202420;Spring 2024;001;18979;Rios-Rojas, Gabriel O.;;;;;;;;;;;;;;;;;;100.0%;;;;;;
;;59600;Social Impact Startup Academy;202420;Spring 2024;002;30176;Vandevoorde, Eric A.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;69199;Pro Prac Grad Co-Op I;202420;Spring 2024;001;17151;Strickland, Jennifer N.;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;;;;;002;17152;Vandevoorde, Eric A.;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;69699;Pro Prac Grad Intern;202420;Spring 2024;001;17205;Strickland, Jennifer N.;;;;;;;;;;;;;;;;;;;;91.7%;;;8.3%;
ENGT;ENGT-Engineering Technology;18200;Gateway To Engineering Tech;202420;Spring 2024;001;15219;Newell, Brittany A.;37.5%;;;;42.5%;;;2.5%;;;5.0%;;;;7.5%;;;;;;;;5.0%;
;;;;;;013;23000;Newell, Brittany A.;31.8%;;;;29.5%;;;27.3%;;;6.8%;;;;2.3%;;;;;;;;2.3%;
;;48000;ET Capstone I;202420;Spring 2024;003;20593;Berry, Frederick C.;25.9%;;31.0%;;12.1%;5.2%;25.9%;;;;;;;;;;;;;;;;;
;;48100;ET Capstone II;202420;Spring 2024;006;20603;Berry, Frederick C.;20.4%;;54.8%;;11.8%;2.2%;10.8%;;;;;;;;;;;;;;;;;
;;;;;;023;23208;Berry, Frederick C.;15.1%;;60.2%;;5.4%;2.2%;15.1%;;;1.1%;;;;;1.1%;;;;;;;;;
ENTM;ENTM-Entomology;10500;Insects Friend And Foe;202420;Spring 2024;001;17789;Long, Elizabeth Y.;36.7%;20.9%;6.5%;;10.1%;2.9%;5.8%;4.3%;2.9%;5.8%;;;;;2.2%;;;0.7%;;;;;1.4%;
;;12800;Investigating Forensic Science;202420;Spring 2024;001;11668;Hans, Krystal R.;31.2%;14.7%;9.2%;;11.0%;5.5%;13.8%;2.8%;;3.7%;1.8%;0.9%;0.9%;;1.8%;;;;;;;;2.8%;
;;20600;General Entomology;202420;Spring 2024;001;19173;Cameron, Stephen L.;7.3%;22.0%;17.1%;;7.3%;19.5%;7.3%;7.3%;2.4%;;2.4%;2.4%;;;2.4%;;;;;;;;2.4%;
;;20700;General Entomology Lab;202420;Spring 2024;002;19177;Cameron, Stephen L.;33.3%;8.3%;16.7%;;8.3%;8.3%;8.3%;;;;;;;;8.3%;;;;;;;;8.3%;
;;;;;;004;19176;Cameron, Stephen L.;36.4%;9.1%;9.1%;;;18.2%;9.1%;9.1%;9.1%;;;;;;;;;;;;;;;
;;21000;Intro Insect Behavior;202420;Spring 2024;001;19178;Ginzel, Matthew D.;41.0%;;;;46.2%;;;5.1%;;;5.1%;;;;2.6%;;;;;;;;;
;;;Intro Insect Behavior-Honors;202420;Spring 2024;001;19178;Ginzel, Matthew D.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;22820;Forensic Analysis;202420;Spring 2024;001;10602;Hans, Krystal R.;33.5%;18.0%;16.0%;;9.5%;3.0%;9.0%;2.0%;0.5%;3.5%;0.5%;;0.5%;;0.5%;;0.5%;;;;;;3.0%;
;;25300;Insect Physiol & Biochemistry;202420;Spring 2024;001;10284;Enders, Laramy S.;10.0%;5.0%;;;5.0%;25.0%;15.0%;5.0%;5.0%;15.0%;;5.0%;5.0%;;5.0%;;;;;;;;;
;;31100;Insect Ecology;202420;Spring 2024;001;57243;Kaplan, Ian;57.1%;;;;26.5%;;;14.3%;;;;;;;2.0%;;;;;;;;;
;;31200;Plant-Insect Chemical Ecology;202420;Spring 2024;001;10293;Couture, John J.;92.3%;;;;7.7%;;;;;;;;;;;;;;;;;;;
;;35300;Insecticides And Environment;202420;Spring 2024;001;10295;Gondhalekar, Ameya D.;87.5%;;;;12.5%;;;;;;;;;;;;;;;;;;;
;;40100;Grand Challenges Insect Biol;202420;Spring 2024;001;15639;Baributsa, Dieudonne;50.0%;;35.7%;;;;7.1%;;;;;;;;;;;;;;;;7.1%;
;;42890;Forensic Science Teaching;202420;Spring 2024;001;19825;Hans, Krystal R.;;;;;;;;;;;;;;;;;;100.0%;;;;;;
;;49390;Insect Biology Capstone Forum;202420;Spring 2024;001;11760;Richmond, Douglas S.;75.0%;;;;8.3%;;;8.3%;;;;;;;;;;;;;;;8.3%;
;;52500;Med Veterinary Entmlgy;202420;Spring 2024;001;20176;Hill, Catherine A.;39.1%;47.8%;4.3%;;;;8.7%;;;;;;;;;;;;;;;;;
;;61100;Toxicol Of Insecticide;202420;Spring 2024;002;24279;Pittendrigh, Barry R.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
ENTR;ENTR-Entrepreneurship;20000;Intro Entr & Innov;202420;Spring 2024;001;22692;Davis, Jack E.;22.2%;22.2%;29.6%;;;;14.8%;;3.7%;;;;;;;;;;;;;;7.4%;
;;;;;;002;22693;Romero-Day, Jorge A.;25.0%;18.2%;11.4%;;4.5%;9.1%;25.0%;2.3%;;4.5%;;;;;;;;;;;;;;
;;;;;;003;55661;Reiff, Mark A.;27.5%;22.5%;47.5%;;;2.5%;;;;;;;;;;;;;;;;;;
;;;;;;004;20265;Reiff, Mark A.;22.5%;10.0%;60.0%;;;;5.0%;;;;;;;;;;;;;;;;2.5%;
;;;;;;005;16443;Lutz, Dora L.;36.4%;20.5%;31.8%;;4.5%;;6.8%;;;;;;;;;;;;;;;;;
;;;;;;006;15645;Lutz, Dora L.;31.8%;11.4%;43.2%;;;;9.1%;2.3%;;;;;;;2.3%;;;;;;;;;
;;;;;;007;22694;Romero-Day, Jorge A.;18.2%;27.3%;9.1%;;6.8%;9.1%;20.5%;2.3%;;;;;;;;;;;;;;;6.8%;
;;;;;;008;19243;Davis, Rick B.;25.6%;30.2%;16.3%;;2.3%;7.0%;7.0%;;;;;;7.0%;;2.3%;;;;;;;;2.3%;
;;;;;;009;19245;Davis, Rick B.;16.3%;34.9%;14.0%;;;14.0%;18.6%;2.3%;;;;;;;;;;;;;;;;
;;;;;;010;22833;Woody, Lucas T.;30.2%;20.9%;14.0%;;4.7%;11.6%;9.3%;;;4.7%;;;2.3%;;;;;;;;;;2.3%;
;;;;;;011;20930;Romero-Day, Jorge A.;15.6%;22.2%;28.9%;;6.7%;6.7%;6.7%;;4.4%;2.2%;;;2.2%;;;;;;;;;;4.4%;
;;;Intro Entr & Innov-Honors;202420;Spring 2024;008;19243;Davis, Rick B.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;31000;Mktg Mgmt For New Ventures;202420;Spring 2024;001;57370;Smith, Terry R.;15.4%;10.3%;74.4%;;;;;;;;;;;;;;;;;;;;;
;;;;;;002;57371;Zentz, Angela L.;23.1%;30.8%;17.9%;;10.3%;2.6%;12.8%;;;;;;;;;;;;;;;;2.6%;
;;;;;;004;57373;Smith, Terry R.;7.5%;7.5%;82.5%;;;;2.5%;;;;;;;;;;;;;;;;;
;;;;;;005;57374;Zentz, Angela L.;30.0%;35.0%;20.0%;;2.5%;;5.0%;2.5%;2.5%;2.5%;;;;;;;;;;;;;;
;;;;;;006;18854;Paden, Bob;30.6%;22.2%;33.3%;;2.8%;8.3%;2.8%;;;;;;;;;;;;;;;;;
;;;;;;008;21443;Zentz, Angela L.;20.0%;36.7%;40.0%;;;;;;;3.3%;;;;;;;;;;;;;;
;;;;;;009;28576;Paden, Bob;32.0%;16.0%;16.0%;;12.0%;4.0%;12.0%;;4.0%;4.0%;;;;;;;;;;;;;;
;;31500;Bus Planning For Social Entr;202420;Spring 2024;001;20999;Lutz, Dora L.;51.3%;7.7%;30.8%;;2.6%;5.1%;2.6%;;;;;;;;;;;;;;;;;
;;46000;Internship And Career Prep;202420;Spring 2024;Y01;18858;Leeker, Steven J.;7.1%;;85.7%;;2.4%;;;2.4%;;;;;;;;;;;;;;;2.4%;
;;;;;;Y02;23597;Wheadon, Mandy J.;24.4%;15.6%;48.9%;;4.4%;;;;;;;;;;;;;;;;;;6.7%;
;;;;;;Y03;26627;Mcnamee, Kathleen E.;18.2%;11.4%;56.8%;;;;6.8%;2.3%;;2.3%;;;;;2.3%;;;;;;;;;
;;47000;Gender, Diversity And Leadrshp;202420;Spring 2024;001;18029;Kisselburgh, Lorraine G.;28.6%;14.3%;21.4%;;21.4%;;7.1%;7.1%;;;;;;;;;;;;;;;;
;;48000;Entr Leadership And Careers;202420;Spring 2024;X01;33450;Woods, Susan B.;21.7%;10.0%;58.3%;;1.7%;1.7%;1.7%;3.3%;;;;;;;;;;;;;;;1.7%;
;;48100;Consulting For Emerging Entr;202420;Spring 2024;002;16348;Woods, Susan B.;37.5%;31.3%;12.5%;;;;12.5%;;;;;;;;;;;;;;;;6.3%;
;;48200;Venture Planning Studio;202420;Spring 2024;001;16478;Mc Donald, John P.;13.0%;30.4%;;;;4.3%;47.8%;;;;;;;;;;;;;;;;4.3%;
;;;Venture Planning Studio-Honors;202420;Spring 2024;001;16478;Mc Donald, John P.;;;;;;;100.0%;;;;;;;;;;;;;;;;;
EPCS;EPCS-Engr Proj Cmity Service;10100;First Yr Part In EPICS;202420;Spring 2024;041;15320;Khalifah, Susan M.;92.3%;;7.7%;;;;;;;;;;;;;;;;;;;;;
;;12100;First Yr ParticipationEPICS II;202420;Spring 2024;014;16639;Strueh, Timothy C.;84.6%;;;;;7.7%;;7.7%;;;;;;;;;;;;;;;;
;;;;;;017;16610;Jamieson, Leah H.;66.7%;;33.3%;;;;;;;;;;;;;;;;;;;;;
;;;;;;022;16579;Strueh, Timothy C.;78.6%;;14.3%;;7.1%;;;;;;;;;;;;;;;;;;;
;;;;;;025;16593;Strueh, Timothy C.;93.8%;;;;;;;;;;6.3%;;;;;;;;;;;;;
;;;;;;033;16609;Strueh, Timothy C.;76.9%;;;;;;7.7%;;7.7%;;;;7.7%;;;;;;;;;;;
;;;;;;034;16635;Strueh, Timothy C.;58.3%;8.3%;8.3%;;;;;8.3%;8.3%;;8.3%;;;;;;;;;;;;;
;;;;;;044;13367;Strueh, Timothy C.;90.9%;;;;;;;;;9.1%;;;;;;;;;;;;;;
;;;;;;062;26298;Pierce, Andrew L.;58.3%;8.3%;8.3%;;;;25.0%;;;;;;;;;;;;;;;;;
;;20100;Soph Part In EPICS;202420;Spring 2024;041;15322;Khalifah, Susan M.;66.7%;;33.3%;;;;;;;;;;;;;;;;;;;;;
;;30100;Jr Part In EPICS;202420;Spring 2024;041;15314;Khalifah, Susan M.;41.2%;5.9%;47.1%;;;;5.9%;;;;;;;;;;;;;;;;;
FNR;FNR-Forestry&Natural Resources;12500;Environmental Scienc & Conserv;202420;Spring 2024;001;10288;Dunning, John B.;11.5%;9.6%;3.8%;;15.4%;19.2%;15.4%;7.7%;1.9%;7.7%;;3.8%;;;;;;;;;;;3.8%;
;;20100;Marine Biology;202420;Spring 2024;001;29480;Koenigbauer, Scott T.;23.8%;21.9%;2.9%;;13.3%;7.6%;13.3%;5.7%;1.9%;5.7%;1.9%;;;;1.0%;;;;;;;;1.0%;
;;;Marine Biology-Honors;202420;Spring 2024;001;29480;Koenigbauer, Scott T.;;100.0%;;;;;;;;;;;;;;;;;;;;;;
;;21000;Nat Res Info Mgmt;202420;Spring 2024;007;19844;Hardiman, Brady S.;12.8%;12.8%;36.0%;;8.8%;5.6%;12.0%;1.6%;0.8%;2.4%;0.8%;;0.8%;;4.8%;;;;;;;;0.8%;
;;25150;Ecol & Sys Mammals & Birds;202420;Spring 2024;001;16235;Dunning, John B.;7.1%;11.6%;5.4%;;19.6%;9.8%;6.3%;14.3%;5.4%;7.1%;2.7%;4.5%;0.9%;;2.7%;0.9%;;;;;;;1.8%;
;;;Ecol&Sys Mammals &Birds-Honors;202420;Spring 2024;001;16235;Dunning, John B.;;;;;;;;;100.0%;;;;;;;;;;;;;;;
;;25250;Lab Ecol&Sys Mammals &Birds;202420;Spring 2024;001;16238;Fehling, Laura S.;;33.3%;16.7%;;16.7%;16.7%;;8.3%;8.3%;;;;;;;;;;;;;;;
;;;;;;002;16239;Fehling, Laura S.;;9.1%;9.1%;;27.3%;9.1%;;9.1%;;;9.1%;9.1%;;;9.1%;;;;;;;;9.1%;
;;;;;;004;16245;Fehling, Laura S.;27.3%;;27.3%;;;18.2%;;;;9.1%;;;;;;;;;;;;;18.2%;
;;;;;;009;27227;Fehling, Laura S.;8.3%;16.7%;41.7%;;16.7%;;;;;8.3%;;;;;;8.3%;;;;;;;;
;;27000;Landscape-Level Planning;202420;Spring 2024;001;21517;Salazar, Kara A.;33.3%;15.6%;33.3%;;4.4%;;11.1%;;;;;;;;;;;;;;;;2.2%;
;;30200;Global Sustainability Issues;202420;Spring 2024;001;16196;Haviarova, Eva;72.7%;;9.1%;4.5%;4.5%;;;;;;;;;;;;;;;;;;9.1%;
;;30500;Conservation Genetics;202420;Spring 2024;001;27212;Dewoody, James A.;9.1%;;1.8%;;50.9%;;12.7%;5.5%;;18.2%;;;1.8%;;;;;;;;;;;
;;31110;Ident & Basic Prop Wood;202420;Spring 2024;001;10225;Haviarova, Eva;;18.8%;12.5%;;25.0%;6.3%;31.3%;;;;;;;;;;;6.3%;;;;;;
;;34800;Wildlife Invest Tecniq;202420;Spring 2024;005;52847;Flaherty, Elizabeth A.;14.3%;16.7%;9.5%;;16.7%;9.5%;11.9%;4.8%;2.4%;4.8%;2.4%;;;;7.1%;;;;;;;;;
;;35300;Nat Res Measurement;202420;Spring 2024;001;19862;Thapa, Bina;31.8%;18.2%;;;18.2%;4.5%;13.6%;;4.5%;4.5%;;4.5%;;;;;;;;;;;;
;;35500;Quant Methods Res Mgrs;202420;Spring 2024;001;15750;Liang, Jingjing;33.3%;5.6%;22.2%;;;5.6%;16.7%;;;16.7%;;;;;;;;;;;;;;
;;37500;Human Dimensions Of NR;202420;Spring 2024;001;19867;Ma, Zhao;35.3%;23.5%;11.8%;;6.9%;2.9%;13.7%;;;2.0%;;;1.0%;;2.9%;;;;;;;;;
;;38400;Stats For Natural Resources;202420;Spring 2024;005;15751;Banerjee, Subham;13.3%;23.3%;8.3%;;18.3%;10.0%;16.7%;5.0%;1.7%;1.7%;;1.7%;;;;;;;;;;;;
;;38500;Fish Biology And Ecology;202420;Spring 2024;001;11383;Collingsworth, Paris D.;26.7%;20.0%;6.7%;;6.7%;6.7%;26.7%;;;;;;;;;;;;;;;;6.7%;
;;40700;Forest Economics;202420;Spring 2024;001;19869;Zhou, Mo;36.4%;27.3%;;;4.5%;9.1%;9.1%;;9.1%;;4.5%;;;;;;;;;;;;;
;;40910;Forest Resources Management;202420;Spring 2024;001;14706;Zhou, Mo;66.7%;33.3%;;;;;;;;;;;;;;;;;;;;;;
;;43200;Human-Wildlife Conflicts;202420;Spring 2024;002;15643;Humberg, Lee A.;12.5%;18.8%;6.3%;;18.8%;6.3%;12.5%;12.5%;6.3%;6.3%;;;;;;;;;;;;;;
;;43300;Forestry Grand Challenges;202420;Spring 2024;001;18390;Jenkins, Michael A.;21.4%;28.6%;7.1%;;14.3%;7.1%;21.4%;;;;;;;;;;;;;;;;;
;;45800;Advanced Marine Biology;202420;Spring 2024;001;17761;Goforth, Reuben R.;39.1%;47.8%;;;4.3%;;4.3%;4.3%;;;;;;;;;;;;;;;;
;;;Advanced Marine Biology-Honors;202420;Spring 2024;001;17761;Goforth, Reuben R.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;49800;Applied Fire Ecology;202420;Spring 2024;045;25305;Brooke, Jarred M.;21.4%;;;7.1%;28.6%;;21.4%;7.1%;;7.1%;;;;;;;;;;;;;7.1%;
;;;Aquatic Sampling Techniques;202420;Spring 2024;050;26141;Sepulveda, Maria S.;6.5%;16.1%;;;45.2%;3.2%;12.9%;9.7%;;3.2%;;3.2%;;;;;;;;;;;;
;;50600;Thry&App Ntrl Resrc Ext Prog;202420;Spring 2024;001;17015;Macgowan, Brian J.;96.4%;;;;3.6%;;;;;;;;;;;;;;;;;;;
;;52900;Disease Ecology;202420;Spring 2024;102;18498;Hoverman, Jason T.;34.8%;;8.7%;;34.8%;;8.7%;4.3%;;8.7%;;;;;;;;;;;;;;
;;53600;Ecology Of Disturbance;202420;Spring 2024;001;21512;Jenkins, Michael A.;66.7%;9.5%;;;14.3%;;9.5%;;;;;;;;;;;;;;;;;
;;53601;Ecology Of Disturbance Pract;202420;Spring 2024;001;21513;Jenkins, Michael A.;71.4%;;21.4%;;;;;;;;;;;;7.1%;;;;;;;;;
;;56700;Advanced Mammalogy;202420;Spring 2024;001;16107;Zollner, Patrick A.;20.0%;20.0%;46.7%;;;6.7%;;;;;;;;;;6.7%;;;;;;;;
;;57400;Big Data, AI, And Forests;202420;Spring 2024;001;17614;Liang, Jingjing;76.2%;9.5%;14.3%;;;;;;;;;;;;;;;;;;;;;
;;59000;Intro Teach Nat Resources;202420;Spring 2024;001;18339;Flaherty, Elizabeth A.;20.0%;;66.7%;;;6.7%;;;;;;;;;;;;;;;;;6.7%;
;;59800;Forest Regeneratn& Restoration;202420;Spring 2024;142;21519;Wagner, Robert G.;16.7%;16.7%;5.6%;;22.2%;16.7%;16.7%;;;;;;;;;;;;;;;;5.6%;
FR;FR-French;10100;French Level I;202420;Spring 2024;008;21211;Abu, Regina;10.5%;10.5%;;;15.8%;10.5%;;10.5%;5.3%;5.3%;;;;;15.8%;;;;;;;;15.8%;
;;;;;;009;25928;Kpetsu, Shalom A.;12.5%;6.3%;31.3%;;;12.5%;6.3%;;6.3%;;;;;;6.3%;;;;;;;;18.8%;
;;;;;;010;22805;Kpetsu, Shalom A.;10.5%;5.3%;42.1%;;15.8%;;15.8%;;;;;;;;;;;;;;;;10.5%;
;;10200;French Level II;202420;Spring 2024;016;19963;Ben Hadj Ben M'Barek, Emmanuelle;24.0%;20.0%;4.0%;;8.0%;20.0%;8.0%;8.0%;;4.0%;;;4.0%;;;;;;;;;;;
;;;;;;019;19966;Ben Hadj Ben M'Barek, Emmanuelle;10.7%;17.9%;14.3%;;10.7%;7.1%;3.6%;10.7%;;10.7%;3.6%;;;;3.6%;;;;;;;;7.1%;
;;;;;;030;15771;Ben Hadj Ben M'Barek, Emmanuelle;16.0%;;12.0%;;12.0%;12.0%;8.0%;;;16.0%;;;;;4.0%;;;4.0%;;;;;16.0%;
;;20100;French Level III;202420;Spring 2024;002;19971;Adesuyan, Bankole I.;44.4%;11.1%;11.1%;;11.1%;;16.7%;;;;;;;;;;;;;;;;5.6%;
;;;;;;004;19973;Ehsanfar, Saeed;11.1%;11.1%;;;16.7%;;33.3%;;;11.1%;;5.6%;5.6%;;5.6%;;;;;;;;;
;;;;;;005;15774;Adesuyan, Bankole I.;15.0%;20.0%;15.0%;;10.0%;5.0%;5.0%;;5.0%;;;;;;5.0%;;;5.0%;;;;;15.0%;
;;20200;French Level IV;202420;Spring 2024;003;15776;Adewuyi, Roseline A.;33.3%;19.0%;14.3%;;9.5%;;9.5%;;;4.8%;4.8%;;4.8%;;;;;;;;;;;
;;21200;Intermed French Conversation;202420;Spring 2024;001;15779;Ben Hadj Ben M'Barek, Emmanuelle;18.2%;18.2%;9.1%;;18.2%;18.2%;9.1%;9.1%;;;;;;;;;;;;;;;;
;;24100;Intro Study French Lit;202420;Spring 2024;001;19679;Jouin, Gwenael B.;27.3%;18.2%;9.1%;;9.1%;9.1%;;9.1%;;;;;;;9.1%;;;;;;;;9.1%;
;;30200;French Level VI;202420;Spring 2024;003;26397;Valero Pena, Ana Isabel;20.0%;26.7%;6.7%;;33.3%;;;;;6.7%;;;;;;;;6.7%;;;;;;
;;38000;French Food Culture;202420;Spring 2024;001;15342;Sturm, Jessica L.;17.6%;;76.5%;;;5.9%;;;;;;;;;;;;;;;;;;
FS;FS-Food Science;16100;Science Of Food;202420;Spring 2024;001;10409;Cho, Young-Hee;10.0%;18.9%;10.0%;1.1%;14.4%;6.7%;17.8%;1.1%;1.1%;6.7%;2.2%;1.1%;1.1%;;;;;1.1%;;;;;6.7%;
;;16200;Intro Food Processing;202420;Spring 2024;001;11910;Smith, Deandrae L.;40.0%;55.0%;5.0%;;;;;;;;;;;;;;;;;;;;;
;;16300;Intro To Ferment Sci -Honors;202420;Spring 2024;001;10215;San Martin-Gonzalez, Maria F.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;Intro To Fermentation Sci;202420;Spring 2024;001;10215;San Martin-Gonzalez, Maria F.;87.8%;;;;4.1%;;;;;;6.1%;;;;2.0%;;;;;;;;;
;;24500;Food Packaging;202420;Spring 2024;001;20018;Mauer, Lisa J.;69.8%;7.0%;7.0%;;9.3%;;2.3%;;;2.3%;;;;;;;;;;;;;2.3%;
;;34000;Intro Food Law & Regs;202420;Spring 2024;001;20021;Hamaker, Bruce R.;25.7%;11.4%;8.6%;;25.7%;2.9%;11.4%;;2.9%;8.6%;;;;;2.9%;;;;;;;;;
;;43500;Sensory Science;202420;Spring 2024;004;68242;Liceaga, Andrea M.;;;;;27.6%;27.6%;6.9%;13.8%;3.4%;10.3%;;;3.4%;;6.9%;;;;;;;;;
;;44300;Food Product Design (Capstone);202420;Spring 2024;001;20026;Liceaga, Andrea M.;16.7%;62.5%;20.8%;;;;;;;;;;;;;;;;;;;;;
;;45300;Food Chemistry;202420;Spring 2024;001;20028;Chen, Da;9.8%;24.4%;;;29.3%;12.2%;19.5%;;2.4%;;;;;;;;;;;;;;2.4%;
;;45400;Food Chemistry Lab;202420;Spring 2024;003;10382;Jones, Owen G.;70.0%;20.0%;;;5.0%;;5.0%;;;;;;;;;;;;;;;;;
;;;;;;004;22076;Jones, Owen G.;68.8%;25.0%;;;;;6.3%;;;;;;;;;;;;;;;;;
;;46700;Food Analysis;202420;Spring 2024;001;15784;Reuhs, Bradley L.;44.4%;;2.8%;;44.4%;;2.8%;5.6%;;;;;;;;;;;;;;;;
;;46900;Food Analysis Laboratory;202420;Spring 2024;001;49503;Cho, Young-Hee;42.9%;14.3%;;;14.3%;4.8%;23.8%;;;;;;;;;;;;;;;;;
;;;;;;002;49504;Cho, Young-Hee;53.3%;20.0%;6.7%;;6.7%;;13.3%;;;;;;;;;;;;;;;;;
;;47000;Wine Appreciation;202420;Spring 2024;001;28271;Butzke, Christian E.;97.6%;;;;;;;;;;;;;;0.3%;;0.1%;1.2%;;;;;0.8%;
;;;Wine Appreciation-Honors;202420;Spring 2024;001;28271;Butzke, Christian E.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;49100;Fresh Produce Food Safety;202420;Spring 2024;006;27885;Deering, Amanda J.;9.1%;18.2%;45.5%;;9.1%;;9.1%;9.1%;;;;;;;;;;;;;;;;
;;55501;Case Study;202420;Spring 2024;001;11989;Yao, Yuan;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;68400;Food Science Seminar;202420;Spring 2024;002;26910;Reddivari, Lavanya;;;;;;;;;;;;;;;;;2.0%;95.9%;;;;;2.0%;
FVS;FVS-Film And Video Studies;26100;Foundations Cinema Production;202420;Spring 2024;001;18606;Sklar, Jeremy F.;8.3%;2.1%;77.1%;;;2.1%;2.1%;;;;2.1%;;;;4.2%;;;;;;;;2.1%;
;;33202;Live Prod I: Wntr/Sprng Sports;202420;Spring 2024;001;28919;Massingill, Hunter R.;71.4%;10.7%;;;;;3.6%;7.1%;;;;;;;3.6%;;;;;;;;3.6%;
;;33400;Cinematography;202420;Spring 2024;001;15797;Chastain, Bobby L.;57.9%;15.8%;;;15.8%;5.3%;;;;;;;;;5.3%;;;;;;;;;
;;33600;Screenwriting;202420;Spring 2024;001;15798;Sklar, Jeremy F.;;;88.2%;;;;;;;;;;;;5.9%;;;;;;;;5.9%;
;;33700;Editing I;202420;Spring 2024;002;52855;Chastain, Bobby L.;47.1%;11.8%;;;5.9%;;17.6%;11.8%;;;;;;;5.9%;;;;;;;;;
;;;Editing I-Honors;202420;Spring 2024;002;52855;Chastain, Bobby L.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;44200;Directing Short Film;202420;Spring 2024;002;15800;Sklar, Jeremy F.;14.3%;;78.6%;;;;;;;7.1%;;;;;;;;;;;;;;
;;49100;Films Of Quentin Tarantino;202420;Spring 2024;013;17688;Zink, Jason W.;18.2%;12.1%;3.0%;;12.1%;9.1%;18.2%;;;3.0%;6.1%;;;;12.1%;;;;;;;;6.1%;
;;;History Of Cinema;202420;Spring 2024;012;17361;Sklar, Jeremy F.;13.8%;6.9%;65.5%;;6.9%;;;;;;;;;;;;;;;;;;6.9%;
GER;GER-German;10100;German Level I;202420;Spring 2024;001;16473;Baumer, Jason E.;22.2%;16.7%;;;16.7%;5.6%;11.1%;;5.6%;;5.6%;;;;;;;;;;;;16.7%;
;;;;;;002;16474;Mewald, Anja;29.4%;17.6%;17.6%;;5.9%;5.9%;5.9%;;;;;;;;;;;;;;;;17.6%;
;;;;;;003;16475;Mewald, Anja;21.1%;15.8%;21.1%;;5.3%;10.5%;15.8%;;;5.3%;;;;;;;;;;;;;5.3%;
;;;;;;011;25960;Baumer, Jason E.;13.3%;20.0%;;;6.7%;;13.3%;6.7%;;13.3%;;;;;6.7%;;;;;;;;20.0%;
;;10200;German Level II;202420;Spring 2024;030;13637;Kroninger, Andrew Y.;44.4%;11.1%;11.1%;;16.7%;;5.6%;;;5.6%;;;;;;;;;;;;;5.6%;
;;;;;;033;14927;Burtscher, Marlene;26.3%;10.5%;;;10.5%;15.8%;10.5%;;;;5.3%;5.3%;;;;;;;;;;;15.8%;
;;;;;;034;15806;Hinkel, Irina A.;25.0%;8.3%;;;33.3%;;8.3%;8.3%;;;;;8.3%;;;;;;;;;;8.3%;
